apr 1.7.6-2
apr-util 1.6.3-2
gawk 5.4.0-1
bash 5.3.015-1
bzip2 1.0.8-4
ca-certificates 20250419-1
coreutils 8.32-5
diffutils 3.12-1
docx2txt 1.4-2
dos2unix 7.5.6-1
expat 2.8.2-1
file 5.48-1
findutils 4.10.0-3
gcc-libs 15.3.0-1
gdbm 1.26-1
gmp 6.3.0-2
gnupg 2.4.9-1
grep 1~3.0-7
gzip 1.14-2
heimdal-libs 7.8.0-5
iconv 1.19-1
less 704-1
libassuan 3.0.2-1
libbz2 1.0.8-4
libcbor 0.11.0-1
libcurl 8.21.0-1
libdb 6.2.32-6
libedit 20240808_3.1-1
libexpat 2.8.2-1
libffi 3.6.0-1
libfido2 1.15.0-1
libgcrypt 1.12.2-1
libgdbm 1.26-1
libgnutls 3.8.13-2
libgpg-error 1.61-1
libhogweed 4.0-1
libiconv 1.19-1
libidn2 2.3.8-1
libintl 0.22.5-1
libksba 1.8.0-1
liblz4 1.10.0-1
liblzma 5.8.3-1
libnettle 4.0-1
libnghttp2 1.69.0-1
libnpth 1.8-1
libopenssl 3.5.7-1
libp11-kit 0.26.2-1
libpcre 8.45-5
libpcre2_8 10.47-1
libpsl 0.21.5-2
libreadline 8.3.003-1
libsasl 2.1.28-5
libserf 1.3.10-2
libsqlite 3.53.3-1
libssh2 1.11.1-1
libtasn1 4.21.0-1
libunistring 1.4.2-1
libutil-linux 2.40.2-2
libxcrypt 4.5.2-1
libzstd 1.5.7-1
mingw-w64-x86_64-antiword 0.37-3
mingw-w64-x86_64-brotli 1.2.0-1
mingw-w64-x86_64-bzip2 1.0.8-3
mingw-w64-x86_64-c-ares 1.34.6-1
mingw-w64-x86_64-ca-certificates 20250419-1
mingw-w64-x86_64-gcc-libs 16.1.0-5
mingw-w64-x86_64-connect 1.105-5
mingw-w64-x86_64-curl-winssl 8.21.0-2
mingw-w64-x86_64-curl-openssl-alternate 8.21.0-2
mingw-w64-x86_64-curl-winssl 8.21.0-2
mingw-w64-x86_64-expat 2.8.2-1
mingw-w64-x86_64-gcc-libs 16.1.0-5
mingw-w64-x86_64-gettext-runtime 1.0-1
mingw-w64-x86_64-git 2.55.0.3-1
mingw-w64-x86_64-git-credential-manager 2.9.0-1
mingw-w64-x86_64-git-credential-wincred 2.55.0.3-1
mingw-w64-x86_64-git-doc-html 2.55.0.3-1
mingw-w64-x86_64-git-extra 1.1.713.cd940aab6-1
mingw-w64-x86_64-git-for-windows-addons 2.55.0.3-1
mingw-w64-x86_64-git-gui 2.55.0.3-1
mingw-w64-x86_64-git-lfs 3.7.1-1
mingw-w64-x86_64-git-perl 2.55.0.3-1
mingw-w64-x86_64-git-send-email 2.55.0.3-1
mingw-w64-x86_64-git-subtree 2.55.0.3-1
mingw-w64-x86_64-gitk 2.55.0.3-1
mingw-w64-x86_64-gmp 6.3.0-2
mingw-w64-x86_64-gnutls 3.8.13-2
mingw-w64-x86_64-libffi 3.6.0-1
mingw-w64-x86_64-libiconv 1.19-1
mingw-w64-x86_64-libidn2 2.3.8-4
mingw-w64-x86_64-libpsl 0.21.5-3
mingw-w64-x86_64-libssh2-wincng 1.11.1-2
mingw-w64-x86_64-libssh2-wincng 1.11.1-2
mingw-w64-x86_64-libtasn1 4.21.0-1
