apr 1.5.2-1
apr-util 1.5.4-2
bash 4.4.012-2
bzip2 1.0.6-2
ca-certificates 20170717-2
coreutils 8.26-2
diffutils 3.5-1
docx2txt 1.4-1
dos2unix 7.4.0-1
expat 2.2.5-1
file 5.32-1
findutils 4.6.0-1
gawk 4.2.0-1
gcc-libs 6.4.0-2
gettext 0.19.8.1-1
git-extra 1.1.241.91af289c6-1
git-flow 1.11.0-1
glib2 2.48.2-1
gmp 6.1.2-1
gnupg 1.4.22-2
grep 3.0-1
gzip 1.9-1
heimdal-libs 7.5.0-1
icu 59.1-1
less 529-1
libasprintf 0.19.8.1-1
libbz2 1.0.6-2
libcrypt 2.1-1
libcurl 7.58.0-1
libedit 3.1-20170329
libexpat 2.2.5-1
libffi 3.2.1-1
libgcrypt 1.8.1-1
libgettextpo 0.19.8.1-1
libgpg-error 1.27-1
libiconv 1.14-2
libidn2 2.0.4-2
libintl 0.19.8.1-1
liblzma 5.2.3-1
libmetalink 0.1.3-1
libnghttp2 1.24.0-1
libopenssl 1.0.2.n-5
libp11-kit 0.23.9-1
libpcre 8.40-2
libpsl 0.18.0-2
libreadline 7.0.003-1
libsasl 2.1.26-8
libserf 1.3.9-1
libsqlite 3.19.3.0-2
libssh2 1.8.0-1
libtasn1 4.12-1
libunistring 0.9.7-2
libutil-linux 2.26.2-1
libxml2 2.9.7-1
libxslt 1.1.32-1
mingw-w64-x86_64-antiword 0.37-2
mingw-w64-x86_64-bzip2 1.0.6-6
mingw-w64-x86_64-ca-certificates 20170211-2
mingw-w64-x86_64-c-ares 1.13.0-4
mingw-w64-x86_64-connect 1.104-1
mingw-w64-x86_64-curl 7.58.0-1
mingw-w64-x86_64-expat 2.2.5-1
mingw-w64-x86_64-gcc-libs 7.3.0-1
mingw-w64-x86_64-gettext 0.19.8.1-2
mingw-w64-x86_64-git 2.16.1.4.ef6d451bbf-1
mingw-w64-x86_64-git-credential-manager 1.14.0-1
mingw-w64-x86_64-git-doc-html 2.16.1.4.ef6d451bbf-1
mingw-w64-x86_64-git-lfs 2.3.4-1
mingw-w64-x86_64-gmp 6.1.2-1
mingw-w64-x86_64-jansson 2.10-1
mingw-w64-x86_64-libffi 3.2.1-4
mingw-w64-x86_64-libiconv 1.15-1
mingw-w64-x86_64-libidn2 2.0.4-1
mingw-w64-x86_64-libmetalink 0.1.3-3
mingw-w64-x86_64-libssh2 1.8.0-1
mingw-w64-x86_64-libtasn1 4.13-1
mingw-w64-x86_64-libunistring 0.9.8-1
mingw-w64-x86_64-libwinpthread-git 6.0.0.5098.2464b7e6-1
mingw-w64-x86_64-libzip 1.3.0-1
mingw-w64-x86_64-mpc 1.1.0-1
mingw-w64-x86_64-mpfr 4.0.0-1
mingw-w64-x86_64-nghttp2 1.29.0-1
mingw-w64-x86_64-odt2txt 0.5-2
mingw-w64-x86_64-openssl 1.0.2.n-5
mingw-w64-x86_64-pcre 8.41-1
mingw-w64-x86_64-tcl 8.6.8-1
mingw-w64-x86_64-tk 8.6.8-1
mingw-w64-x86_64-wineditline 2.201-1
mingw-w64-x86_64-wintoast 1.0.0.181.9b0663d-1
mingw-w64-x86_64-zlib 1.2.11-1
mintty 1~2.8.3-1
mpfr 4.0.0.1-3
msys2-runtime 2.9.0-7
nano 2.8.7-1
ncurses 6.1.20180127-1
openssh 7.6p1-1
openssl 1.0.2.n-5
p11-kit 0.23.9-1
patch 2.7.5-1
perl 5.26.1-1
perl-Authen-SASL 2.16-2
perl-Convert-BinHex 1.123-2
perl-Encode-Locale 1.04-1
perl-Error 0.17024-1
perl-File-Listing 6.04-2
perl-HTML-Parser 3.72-1
perl-HTML-Tagset 3.20-2
perl-HTTP-Cookies 6.01-2
perl-HTTP-Daemon 6.01-2
perl-HTTP-Date 6.02-2
perl-HTTP-Message 6.06-2
perl-HTTP-Negotiate 6.01-2
perl-IO-Socket-SSL 2.016-1
perl-IO-stringy 2.111-1
perl-libwww 6.15-1
perl-LWP-MediaTypes 6.02-2
perl-MailTools 2.14-1
perl-MIME-tools 5.506-1
perl-Net-HTTP 6.09-1
perl-Net-SMTP-SSL 1.02-1
perl-Net-SSLeay 1.84-1
perl-TermReadKey 2.37-1
perl-TimeDate 2.30-2
perl-URI 1.68-1
perl-WWW-RobotRules 6.02-2
sed 4.4-2
ssh-pageant-git 1.4.12.g6f47092-1
subversion 1.9.7-1
tar 1.30-1
tig 2.3.3-1
unzip 6.0-2
vim 8.0.1305-1
which 2.21-2
winpty 0.4.3-1
zlib 1.2.11-1
filesystem 2017.05-1
dash 0.5.9.1-1
rebase 4.4.2-1
util-linux 2.26.2-1
unzip 6.0-2
mingw-w64-x86_64-xpdf 3.04-1
